Name,geometry,numm,nummer,lat,lon
Abia,POINT (7.524447281046014 5.456420859359643),"['7', '524447281046014', '5', '456420859359643']","[7.524447281046014, 5.456420859359643]",7.524447281,5.456420859
Adamawa,POINT (12.40493873348676 9.33095640004877),"['12', '40493873348676', '9', '33095640004877']","[12.40493873348676, 9.33095640004877]",12.40493873,9.3309564
Akwa Ibom,POINT (7.847321498572161 4.907151584869209),"['7', '847321498572161', '4', '907151584869209']","[7.847321498572161, 4.907151584869209]",7.847321499,4.907151585
Anambra,POINT (6.935840049009533 6.227943829741159),"['6', '935840049009533', '6', '227943829741159']","[6.935840049009533, 6.227943829741159]",6.935840049,6.22794383
Bauchi,POINT (9.98798536778998 10.78021416281611),"['9', '98798536778998', '10', '78021416281611']","[9.98798536778998, 10.78021416281611]",9.987985368,10.78021416
Bayelsa,POINT (6.070537762909064 4.772516176228854),"['6', '070537762909064', '4', '772516176228854']","[6.070537762909064, 4.772516176228854]",6.070537763,4.772516176
Benue,POINT (8.739893796186037 7.334653275476581),"['8', '739893796186037', '7', '334653275476581']","[8.739893796186037, 7.334653275476581]",8.739893796,7.334653275
Borno,POINT (13.1499652413986 11.88358944367648),"['13', '1499652413986', '11', '88358944367648']","[13.1499652413986, 11.88358944367648]",13.14996524,11.88358944
Cross River,POINT (8.598668227897218 5.874929063862457),"['8', '598668227897218', '5', '874929063862457']","[8.598668227897218, 5.874929063862457]",8.598668228,5.874929064
Delta,POINT (5.943205031626015 5.707456947535629),"['5', '943205031626015', '5', '707456947535629']","[5.943205031626015, 5.707456947535629]",5.943205032,5.707456948
Ebonyi,POINT (8.017366451350656 6.263451766477402),"['8', '017366451350656', '6', '263451766477402']","[8.017366451350656, 6.263451766477402]",8.017366451,6.263451766
Edo,POINT (5.929748060021081 6.633471343417489),"['5', '929748060021081', '6', '633471343417489']","[5.929748060021081, 6.633471343417489]",5.92974806,6.633471343
Ekiti,POINT (5.310912968226847 7.718981653761416),"['5', '310912968226847', '7', '718981653761416']","[5.310912968226847, 7.718981653761416]",5.310912968,7.718981654
Ogun,POINT (3.47592162859992 6.994443534973946),"['3', '47592162859992', '6', '994443534973946']","[3.47592162859992, 6.994443534973946]",3.475921629,6.994443535
Ondo,POINT (5.150803378823357 6.916742362186008),"['5', '150803378823357', '6', '916742362186008']","[5.150803378823357, 6.916742362186008]",5.150803379,6.916742362
Osun,POINT (4.519702469911003 7.561705277928282),"['4', '519702469911003', '7', '561705277928282']","[4.519702469911003, 7.561705277928282]",4.51970247,7.561705278
Oyo,POINT (3.614274917989431 8.158462773435742),"['3', '614274917989431', '8', '158462773435742']","[3.614274917989431, 8.158462773435742]",3.614274918,8.158462773
Enugu,POINT (7.439059880469713 6.532745993457286),"['7', '439059880469713', '6', '532745993457286']","[7.439059880469713, 6.532745993457286]",7.43905988,6.532745993
Abuja,POINT (7.184726188971271 8.900714333108334),"['7', '184726188971271', '8', '900714333108334']","[7.184726188971271, 8.900714333108334]",7.184726189,8.900714333
Gombe,POINT (11.18341994372551 10.37314233733836),"['11', '18341994372551', '10', '37314233733836']","[11.18341994372551, 10.37314233733836]",11.18341994,10.37314234
Imo,POINT (7.058825868030783 5.572058856826649),"['7', '058825868030783', '5', '572058856826649']","[7.058825868030783, 5.572058856826649]",7.058825868,5.572058857
Jigawa,POINT (9.56512602276384 12.2253532354153),"['9', '56512602276384', '12', '2253532354153']","[9.56512602276384, 12.2253532354153]",9.565126023,12.22535324
Kaduna,POINT (7.711364809937971 10.37345121973827),"['7', '711364809937971', '10', '37345121973827']","[7.711364809937971, 10.37345121973827]",7.71136481,10.37345122
Kano,POINT (8.526618353844787 11.7433085300261),"['8', '526618353844787', '11', '7433085300261']","[8.526618353844787, 11.7433085300261]",8.526618354,11.74330853
Katsina,POINT (7.631532006614365 12.38053973384827),"['7', '631532006614365', '12', '38053973384827']","[7.631532006614365, 12.38053973384827]",7.631532007,12.38053973
Kebbi,POINT (4.529464176718707 11.71251064804443),"['4', '529464176718707', '11', '71251064804443']","[4.529464176718707, 11.71251064804443]",4.529464177,11.71251065
Kogi,POINT (6.691979099701408 7.732990800675895),"['6', '691979099701408', '7', '732990800675895']","[6.691979099701408, 7.732990800675895]",6.6919791,7.732990801
