Category,Date,Location,Text
kidnapping,"March 30, 2024",Ogun,":Ogun State Police Command on Friday confirmed the abduction ofTwo worshippers at a Celestial Church, in Mowe, Obafemi/Owode local government area of the state have been abducted by gunmen, suspected to be kidnappers.Nigeriacrime.com learned that the incident occurred on Thursday, at the church located near Oriyarin village, Mowe.The command spokesperson, Omolola Odutola, who confirmed this identified the victims as Oladapo Seyifunmi and Oluboboye Abiola.Odutola added that the hoodlums escaped through a thick forest behind the church.According to her,  “report at my disposal reveals that on 28/3/2024, unidentified gunmen invaded a Celestial Church around Oriyarin village Mowe and abducted one Oladapo Seyifunmi andu Oluboboye Abiola and escaped through the thick forest behind the church.“The Commissioner of Police, Alamutu Abiodun, has been briefed, and he has ordered immediate mobilisation of security personnel to go after the hoodlums.”In a related development, operatives of Ogun State Police Command have arrested Aliu Oyetola and Seyi Afolabi, said to be members of a four-man gang of ‘one chance’ robbers terrorising residents of Sango Ota and its environs.Oyetola and Afolabi were arrested by the police operatives attached to Sango Ota while on a routine patrol around Itori, the headquarters of Ewekoro Local Government area of the State on Thursday.It was gathered that the policemen had been on the trail after a victim reported how he was robbed on March 23, 2024, losing over N320,000 to the robbers.SP Omolola Odutola, said, “The victim boarded a Toyota Corolla taxi at Ijako market, going to Itori, with four men who surreptitiously posed as a fellow passenger in the said taxi.“While on the way, the said men robbed the victim of her valuables, by forcefully dispossessing her of her smartphone valued at N85,000, the money realised from POS machine sale worth N123,000, and a separate cash N105,000 and subsequently pushed her out of the car and fled”.“Acting on the report, the DPO Sango Ota Division gave his surveillance team an order to be on the lookout for the perpetrators of the crime.”She explained further that on March 28, 2024, while the policemen were on surveillance on Itori road, a Toyota Corolla car which the gang usually used to operate was approaching the police, but it suddenly stopped and the occupants fled in different directions.The police operatives immediately gave them “a hot chase and succeeded in arresting the duo.”A Toyota Corolla vehicle with number plate GGE 659 FR was recovered.The two suspects arrested were said to have made confessional statements and cooperated with the police by giving useful information that would lead to the arrest of other fleeing members of the gang.The State Commissioner of Police, CP Abiodun Alamutu, has ordered that the suspects be transferred to the Anti-robbery Department of the State Criminal Investigation Department for discreet investigation and diligent prosecution."
kidnapping,"March 28, 2024",Katsina,"The Katsina State Police Command rescued five kidnap victims who were abducted while travelling from Abuja to Zamfara State.Nigeriacrime.com learned that the victims, held captive in chains within Katsina’s forest, were rescued on March 25th, 2024 during a routine patrol by officers from the Kankara Divisional Police Headquarters.Police Commissioner, CP Aliyu Abubakar Musa, in a statement on Tuesday, said the victims were initially abducted near Kushere village in Zamfara on March 9th, 2024.According to the Command spokesperson, ASP Sadiq Aliyu, the rescue occurred near Masiga village within Kankara Local Government Area (LGA) of Katsina State.He further noted that the rescued victims are currently receiving medical attention and authorities are working to reunite them with their families.The identities of the rescued victims as presented in the statement include Bashir Malam Sani (25), Kamaladdeen Sani (23), Musa Muhammad (22), Sagir Umar (20), and Muntari Sama’ila (20). All the victims are said to be residents of Magamin Mai Tarko village in Zamfara State"
kidnapping,"March 24, 2024",Sokoto,"Troops of Operation Hadarin Daji have rescued sixteen (16) Twansgira (Almajiri) children kidnapped by bandits/terrorists in Sokoto state working jointly with local authorities and government agencies.Nigeriacrime.com learned that victims have been handed over to the Sokoto State Government for further action.According to the Director of Media Operations, Maj. Gen Buba Edward:  “The rescued victims had been handed over to the Sokoto state government.”Edward reads, “Recall terrorists invaded and kidnapped 16 pupils (Almajiris) with a woman in Gada LGA of Sokoto State.“On 21 March 2024, the military, working with local authorities and government agencies across the country, in a coordinated search and rescue operation rescued these hostages.“The rescued hostages have been handed over to the Sokoto State Government for further action”.Gen Buba added that the military had extended its resources to find and rescue other kidnapped victims in the countryHe said the military would not rest on its oars until terrorists and other non-state actors abducting citizens are brought to book.“Additionally, the armed forces are extending all of their efforts and resources to find other innocent hostages and track down the terrorists that perpetrated these crimes.“These efforts would continue until they are found and the terrorists arrested, tried, and brought to justice by Nigerian law.“The military would not rest until all kidnapped hostages are rescued.”He noticed that troops would deploy the same efforts to fish out those behind the death of its personnel in Delta State.”Furthermore, troops are deploying the same effort to track down the culprits responsible for the killings of 18 soldiers in Okuama Community in Delta State on 14 March 2024.”He said the banner of wanted persons (terrorists and insurgent commanders) released by DHQ would be deployed in strategic locations.He said, ” Indeed, to curb the freedom of action of terrorists and the perpetrators of insecurity across the country, the military has released banners of wanted terrorists and their cohorts.“The banners would be deployed in strategic areas across the country.“The deployment of the banner is for ease of recognition and arrest of the wanted persons.“The public is urged to cooperate and report, please.”"
kidnapping,"March 23, 2024",Akwa Ibom,"An Akwa Ibom couple elder Nyaknobong Etuk and his wife have been reportedly abducted by gunmen in front of the gate of their residence located at Akpasak Estate, Mbiabong Off Oron Road, Uyo.Nigeriacrime.com learned that the couple’s abductors left their infant twins abandoned.It was gathered, yesterday, that the couple native of Oruk Anam LGA, went shopping along Oron Road within Uyo and left their twin babies in the care of their house help, whose identity was not disclosed at press time.When they returned home that Sunday evening and blew their horn for some minutes, nobody came to open the gate for them, until the suspected kidnappers arrived in a mini-bus decorated with camouflage tarpaulin, and ordered them out of their car.They whisked them away in their minibus to an unknown destination.A family source, who spoke to newsmen in confidence, expressed concern that the twins dedicated in the church about six months ago cried uncontrollably since the incident occurred.The source added that the babies even refuse other people cuddling, or feeding them.The suspected kidnappers have not made contact with the victims’ families for any ransom.However, the State Police Public Relations Officer, Odiko MacDon confirmed the kidnap of the couple to some newsmen, yesterday.His words are aware of the kidnap incident of the Director of Finance and his wife. The matter had been reported to us and the state Commissioner of Police, Waheed Ayilara has directed the appropriate unit in the police force to investigate the matter with a view to rescuing the victims.‘‘We are on top of the situation. In a short time, the kidnappers would be arrested and brought to book. We are not leaving any stone unturned in an effort to secure the lives and property of the Akwa Ibom people.“Kidnapping is a short-lived crime. I can assure you that very soon, the victims will be rescued and reunited with their families.’’"
kidnapping,"March 23, 2024",Kwara,"A Chinese Nationale, Mr Peng Chao Zhang who was abducted by dare devil robbers has been successfully rescued from kidnappers den unhurt.It would be recalled that Mr Zhang was forcefully kidnapped by six gunmen on the 10th of March, 2024 among other business associates at  Cherish Guest House Eiyenkorin, outskirts of Ilorin where he lodged.Nigeriacrime.com learned that the victim was rescued by the Tactical officers of Kwara state police command, in conjunction with Vigilante.According to the spokesperson of the State Police Command DSP Ejire Adeyemi Toun: “The Kwara State Police Command is pleased to announce a significant breakthrough in the recent Kidnap incident that occurred in Eiyenkorin, Ilorin, Kwara State.”He noted that” On the 10th of March, 2024, six armed men forcefully abducted Mr Peng Chao Zhang (also known as Williams Kaka amongst his business associates), a Chinese national who Lodged at Cherish Guest House eiyenkorin, Ilorin, sparking concerns and fear within the community. ”Toun added: “Through diligent and coordinated efforts, the Command’s Tactical Teams and vigilantes executed a series of strategic searches and investigations leading to the safe rescue of the victim in the early hours of 19th March 2024.”The command is pleased to confirm that the victim has since been reunited with his family unharmed. This achievement underscores the unwavering commitment of the Kwara State Police Command to ensure the safety and security of all residents and visitors within the state.He however urged the public to remain vigilant and report any suspicious activities to the authorities promptly."
kidnapping,"March 22, 2024",Ogun,"A farm attendant, Tunde Osifowokan who works at Flourishing Poultry Farm has been kidnapped by suspected gunmen in Odogbolu Local Government Area of Ogun StateNigeriacrime.com learned that Osifowokan is the younger brother of the owner of poultry farm.
This came as the Hausa community in the town was also said to have reported on Tuesday that one Mallam Isiaka Aileru, who went to his farm on Monday has not been seen and that he might have been abducted from his farm by the daredevil gunmen.The gunmen were said to have arrived the farm in a comando style, shooting sporadically and sending everybody around running for safety.They were said to have demanded for the owner of the business, who had travelled, but was expected to return the same day.
But when none of the workers refused to talk because of fear, Osifowokan was said to have stood up to say the owner of the farm was not around.The hoodlums had reportedly told him to identify himself and he said that he was the younger brother of the owner of the farm, so the abductors decided to escape with him amidst shooting.A community leader and the Sobaloju of Idowa, Chief Yusuf Olusanya confirmed the incident.
Chief Olusanya said: “The incident is true. The hoodlums, according to what I heard came wearing mask and started shooting sporadically. They demanded for the owner of poultry farm, but since none of the workers is actually the owner they kept quiet.
“However, one of them stood up and when the hoodlums asked him to identify himself, he said he is the younger brother to the owner of the farm. That was how they went away with him.
“While trying to escape, they shot at one driver in the neck, they riddled his vehicle which he uses in carrying blocks with bullets.
“A new twist was added to the incident when the Hausa community in the town on Tuesday also said that they were looking for one of them, one Mallam Isiaka Aileru.
“He was said to have gone to his farm on Monday but has not returned. He was even been traced to his farm and they found the cloth he wore to the farm, but he was nowhere to be found.
“The thinking is that this same gang might have been responsible for this missing Mallam Isiaka Aileru.
“The police at Idowa, Odogbolu and even the Area Commander from Ijebu-Ode have all been here, but as we speak, we have not heard anything as touching the demand for ransom by these abductors.”
The Commissioner of Police, Abiodun Alamutu confirmed the abduction of the poultry farm attendant. He said the police were deploying all its arsenal and intelligence to ensure that the victim regain freedom.
Alamutu said: “There was actually a kidnap but only one person is involved and not two, if they are looking for another person, it may not be a kidnap. If the person has not returned home, they should give us another 24 hours before they will make official complain"
kidnapping,"March 19, 2024",Kaduna,"Sixteen abducted victims in  Kaduna State have been successfully rescued by Troops of the Nigerian Army deployed in 1 Division from the hands of violent extremists and terrorists in Tantatu Community of Kajuru Local Government Area of Kaduna State.Nigeriacrime.com gathered that the troops on 17 March 2024 at about 10:30 pm swiftly tracked the insurgents who had earlier attacked the community in numbers and abducted some of the villagers as hostages.According to the Army headquarters, “On arriving at the scene of the incident, the troops tenaciously pursued the insurgents, engaging them in a ferocious exchange of fire and consequently rescuing 16 kidnapped victims.“The troops are still exploiting the bushes in continuation of the search and rescue operations to extricate other victims and balk the nefarious activities of the insurgents.“The Chief of Army Staff Lt Gen Taoreed Abiodun Lagbaja has commended the troops for the successful rescue of the kidnap victims.He charged them to remain vigilant as they conduct ongoing counter-insurgency operations to liberate all troubled areas in the country."
kidnapping,"March 16, 2024",Kaduna,"A female police operative at the Kaduna State Police Command has arrested a suspected kidnapper, Adamu Abdulwahab and recovered dangerous weapons in his possession.The Commissioner of Police  commended  the Officer in Charge (OC) of the CP Monitoring Unit, CSP Jummai Amawo, and her dedicated team for their exceptional efforts and dedication to duty, saying “The iron lady has done it again.”Spokesperson of the Command, ASP Mansir Hassan explained that “on February 29, 2024, at approximately 5 PM, the vigilant operatives of the CP Monitoring Unit conducted a well-coordinated operation at the residence of the suspect, Mr. Adamu Abdulwahab, in Ganga Uku Village, Mararaban Jos.”“The operation resulted in the apprehension of Mr. Abdulwahab and the recovery of crucial exhibits, including a fabricated cartridge revolver rifle, a fabricated pistol, two Dane guns, six live cartridges, one discharge GPRG ammunition, seven discharge cartridges, and a blood-stained cutlass.”According to him, “It was revealed during the investigation that Mr. Adamu Abdulwahab, 35 years old, in connivance with other suspects who are currently at large, had kidnapped Mr. Samaila Abdullahi, 40 years old, of Keke Kingdom, Mararaban Jos, on February 13, 2024, at approximately 2 PM. The victim was forcefully taken to an unknown destination.”“The suspect is now in custody, cooperating with ongoing investigations, and providing valuable information to aid the police in bringing the remaining perpetrators to justice.”“The Commissioner of Police commends the CP Monitoring Unit for their dedication, professionalism, and swift response in ensuring the safety of the community.
This successful operation underscores the overall commitment of the police command, led by Commissioner of Police CP Ali Audu  Dabigi Psc, to maintain law and order in Kaduna State,” the statement added."
kidnapping,"March 15, 2024",Akwa Ibom,"Police in Akwa Ibom state have arrested a woman, Imaobong Sampson Francis of Nung Oku village, Ibesikpo Asutan Local Government Area, for faking her kidnap for four million naira ransom.Nigeriacrime.com gathered that the command also rescued three kidnap victims with 52 suspects arrested for offences including murder, kidnapping, armed robbery, child trafficking, cultism and fraud in the last month.Speaking on the development, the Commissioner of Police, Akwa Ibom Command, CP Waheed Ayilara said: “On March 11, at 10 am, a report was received from one Enobong Sampson that her sister, Imaobong Sampson, was kidnapped, the kidnappers demanding N 4 million as ransom.“As a result, operatives of the Anti Kidnap Squad of the Command embarked on intense, intelligence-driven operation, to track down the perpetrators and rescue the victim.“March 12, 2024, at about 11:15 pm the purported victim, Imaobong Sampson and her boyfriend, Beltus Ebong, were arrested in a hideout at Mbierebe Obio, Ibesikpo Asutan LGA.“She confessed to have conspired with her boyfriend, Beltus and three others to proclaim her kidnap to raise money from her aunt, who is based abroad.”The CP added that on March 13 operatives of the Command arrested one Okon Edet (m) of Uruting village, Okobo LGA for killing his father, Chief Okon Edet, aged 75, of the same address by beating him mercilessly with a machete, leading to his death.The murder suspect had alleged that the late father sold all parcels of land he had, including the one he gave to him to build his house as the motive for his action.Ayilara further said on March 8, operatives of the Anti Robbery Squad of the Command arrested one Akanimo Akpan of Efa Ayam village in Etinan LGA for involvement in adulterated fruit drinks and other products.In other operations, on March 8, at about 4 pm, one Akan Edet was arrested for using Point Of Sale (POS) to defraud innocent citizens and was to be set ablaze by a mob when operatives of COMPOL Monitoring Unit rescued him.Ayilara alleged most victims Edet had defrauded have identified him and a cash of N350,000 was recovered from him at the time of the arrest.Assuring all arrested suspects would be charged to Court when investigations were concluded, CP Ayilara reassured that, “The Command under my watch will collaborate with stakeholders in harnessing available resources to ensure that the State continues to remain the most peaceful.”"
kidnapping,"March 10, 2024",Edo,"Troops of the Nigerian Army in an audacious rescue operation, have extricated 4 Kidnap victims abducted by a notorious gang of Kidnappers in Edo State.“The Kidnappers had forcefully taken their captives, including a lady and 3 men into Ososo forest in Akoko Edo Local Government Area of the state, but were tracked and intercepted by the gallant troops, who engaged the criminals in a firefight and extricated the abductees”.Major General Onyema Nwachukwu made this known on Thursday in a statement in AbujaHe said, “The troops apprehended one of the kidnappers, who is currently undergoing preliminary investigation and will be subsequently handed over to the appropriate prosecuting agency.“One of the rescued victims who suffered from shock and fatigue has been evacuated to a medical facility, where he is receiving treatment, while others have been handed over to their families“In a similar vein, troops of the Nigerian Army (NA) deployed to counter insurgency in North West Nigeria, on Wednesday 6 March 2024 successfully defended Damba Dikko village, a community in Illela Local Government Area of Sokoto State, which came under attack of marauding terrorists seeking to forcefully extort levies from the villagers.“Responding to a distress call, vigilant troops swiftly stormed the village and engaged the insurgents in a gun duel, neutralizing 2 of them and rescued two villagers held hostage by the insurgents.“The rescued villagers who suffered minor injuries have been given medical attention by Nigerian Army paramedics.“The Nigerian Army appreciates members of the public for their cooperation with troops and other security agencies in the fight against security challenges in the country.“It encourages them to continue to be vigilant and promptly report any suspected attempt to breach the security to relevant agencies.“Together, we can restore peace and stability in our various communities, states and nations.”"
