Category,Link
kidnapping,https://nigeriacrime.com/gunmen-abduct-students-in-ughelli-demands-n10-m/
kidnapping,https://nigeriacrime.com/2-worshippers-abducted-in-ogun-church/
kidnapping,https://nigeriacrime.com/5-kidnap-victims-rescued-from-katsina-forest/
kidnapping,https://nigeriacrime.com/17-kidnapped-women-children-rescued-in-sokoto/
kidnapping,https://nigeriacrime.com/gunmen-kidnapped-akwa-ibom-couple-abandon-infant-twins/
kidnapping,https://nigeriacrime.com/kidnapped-chinese-bizman-rescued-in-kwara-state/
kidnapping,https://nigeriacrime.com/poultry-farm-attendant-one-other-kidnapped-in-ogun/
kidnapping,https://nigeriacrime.com/16-kidnapped-victims-rescued-in-kajuru-kaduna-state/
kidnapping,https://nigeriacrime.com/female-police-arrest-kidnapper-recovers-weapons-in-kaduna/
kidnapping,https://nigeriacrime.com/woman-in-police-net-for-faking-own-kidnap-for-n-4m-ransom-in-aibom/
kidnapping,https://nigeriacrime.com/army-rescues-4-victims-from-kidnappers/
kidnapping,https://nigeriacrime.com/10-victims-kidnapped-from-peace-mass-transit-bus-in-kogi-rescued/
kidnapping,https://nigeriacrime.com/40-hostages-rescued-from-kidnappers-den-in-taraba/
kidnapping,https://nigeriacrime.com/12-kidnap-victims-rescued-in-benue-community/
kidnapping,https://nigeriacrime.com/notorious-bandit-boderi-killed-in-kaduna/
kidnapping,https://nigeriacrime.com/police-arrest-fleeing-kidnapper-of-plateau-catholic-priests-in-ogun/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/kidnappers-kill-teenager-demand-n4m-ransom-in-kano/
kidnapping,https://nigeriacrime.com/14-terrorists-killed-as-troops-rescue-11-kidnapped-victims-in-kaduna/
kidnapping,https://nigeriacrime.com/5-deadly-kidnappers-arrested-in-abuja/
kidnapping,https://nigeriacrime.com/killing-of-kwara-monarch-kidnappers-demand-n100m-as-ransom/
kidnapping,https://nigeriacrime.com/police-parades-suspected-killer-of-ekiti-monarchs/
kidnapping,https://nigeriacrime.com/4-kidnapped-victims-rescued-from-kidnappers-den-in-taraba/
kidnapping,https://nigeriacrime.com/bride-30-other-women-abducted-in-katsina-community/
kidnapping,https://nigeriacrime.com/police-vow-to-arrest-killers-of-rtd-army/
kidnapping,https://nigeriacrime.com/ekiti-pupils-abductors-reduce-ransom-to-ransom-to-15m/
kidnapping,https://nigeriacrime.com/kidnapping-so-safe-rescue-kidnapped-teenage-victim-in-ogun/
kidnapping,https://nigeriacrime.com/n60-million-fraud-suspects-arrested/
kidnapping,https://nigeriacrime.com/2-kidnap-victims-rescued-by-fct-police/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/police-officers-reject-n8-5m-bribe-from-suspected-kidnapper-in-taraba/
kidnapping,https://nigeriacrime.com/nursing-mother-grandma-killed-in-abuja-ovee-failing-to-pay-n90m-ransom/
kidnapping,https://nigeriacrime.com/katsina-police-neutralise-bandit-recovers-gmpg-in-foiled-kidnap-attempt/
kidnapping,https://nigeriacrime.com/just-in-gunmen-kidnap-absu-deputy-vc/
kidnapping,https://nigeriacrime.com/3-policemen-kidnapped-in-delta-community/
kidnapping,https://nigeriacrime.com/oyo-pms-chairman-kidnapped/
kidnapping,https://nigeriacrime.com/kidnappers-den-uncovered-in-abia-community/
kidnapping,https://nigeriacrime.com/alleged-kidnap-in-river-parm-estate-abuja-is-false-police/
kidnapping,https://nigeriacrime.com/abuja-bizwoman-abducted-inside-army-barracks/
kidnapping,https://nigeriacrime.com/3-to-die-by-hanging-for-kidnap-murder-of-rivers-chief/
kidnapping,https://nigeriacrime.com/two-katsina-varsity-students-abducted/
kidnapping,https://nigeriacrime.com/stop-crowd-funding-to-raise-ransom-for-kidnap-victims-fg-warns-nigerians/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/fg-kics-against-paying-ransom-to-kidnappers/
kidnapping,https://nigeriacrime.com/fct-kidnapping-igp-special-squad-to-move-against-bandits/
kidnapping,https://nigeriacrime.com/gunmen-abduct-45-passengers-demand-n135m-ransom/
kidnapping,https://nigeriacrime.com/benue-lg-chair-three-aides-abducted/
kidnapping,https://nigeriacrime.com/kidnapper-arrested-for-abducting-8-year-old-girl-in-ondo/
kidnapping,https://nigeriacrime.com/abuja-23-residents-abducted-by-bandits/
kidnapping,https://nigeriacrime.com/four-arrested-for-allegedly-kidnapping-bayelsa-bizwoman/
kidnapping,https://nigeriacrime.com/kidnapped-hotelier-regains-freedom-after-payment-of-n25m-ransom/
